,date,variable,generation_twh
China,01/12/2018,Wind and solar,51.8
China,01/01/2019,Bioenergy,9.12
China,01/01/2019,Clean,148.69
China,01/01/2019,Coal,400.19
China,01/01/2019,Fossil,419.34
China,01/01/2019,Gas,17.46
China,01/01/2019,Hydro,68.89
China,01/01/2019,Nuclear,24.19
China,01/01/2019,Other Fossil,1.69
China,01/01/2019,Solar,13.85
China,01/01/2019,Wind,32.64
China,01/01/2019,Wind and solar,46.49
China,01/02/2019,Bioenergy,9.12
China,01/02/2019,Clean,148.64
China,01/02/2019,Coal,400.19
China,01/02/2019,Fossil,419.34
China,01/02/2019,Gas,17.46
China,01/02/2019,Hydro,68.89
China,01/02/2019,Nuclear,24.19
China,01/02/2019,Other Fossil,1.69
China,01/02/2019,Solar,13.88
China,01/02/2019,Wind,32.56
China,01/02/2019,Wind and solar,46.44
China,01/03/2019,Bioenergy,8.96
China,01/03/2019,Clean,179.41
China,01/03/2019,Coal,393.2
China,01/03/2019,Fossil,412.02
China,01/03/2019,Gas,17.16
China,01/03/2019,Hydro,81.13
China,01/03/2019,Nuclear,28.65
China,01/03/2019,Other Fossil,1.66
China,01/03/2019,Solar,20.61
China,01/03/2019,Wind,40.06
China,01/03/2019,Wind and solar,60.67
China,01/04/2019,Bioenergy,8.37
China,01/04/2019,Clean,179.95
China,01/04/2019,Coal,367.22
China,01/04/2019,Fossil,384.79
China,01/04/2019,Gas,16.02
China,01/04/2019,Hydro,83.41
China,01/04/2019,Nuclear,27.8
China,01/04/2019,Other Fossil,1.55
China,01/04/2019,Solar,20.85
China,01/04/2019,Wind,39.52
China,01/04/2019,Wind and solar,60.37
China,01/05/2019,Bioenergy,8.27
China,01/05/2019,Clean,200.83
China,01/05/2019,Coal,362.88
China,01/05/2019,Fossil,380.25
China,01/05/2019,Gas,15.84
China,01/05/2019,Hydro,102.71
China,01/05/2019,Nuclear,27.19
China,01/05/2019,Other Fossil,1.53
China,01/05/2019,Solar,21.51
China,01/05/2019,Wind,41.15
China,01/05/2019,Wind and solar,62.66
China,01/06/2019,Bioenergy,8.73
China,01/06/2019,Clean,200.95
China,01/06/2019,Coal,383.12
China,01/06/2019,Fossil,401.46
China,01/06/2019,Gas,16.72
China,01/06/2019,Hydro,113.69
China,01/06/2019,Nuclear,27.97
China,01/06/2019,Other Fossil,1.62
China,01/06/2019,Solar,20.32
China,01/06/2019,Wind,30.24
China,01/06/2019,Wind and solar,50.56
China,01/07/2019,Bioenergy,9.86
China,01/07/2019,Clean,224.81
China,01/07/2019,Coal,432.63
China,01/07/2019,Fossil,453.34
China,01/07/2019,Gas,18.88
China,01/07/2019,Hydro,137.9
China,01/07/2019,Nuclear,31.31
China,01/07/2019,Other Fossil,1.83
China,01/07/2019,Solar,21.14
China,01/07/2019,Wind,24.6
China,01/07/2019,Wind and solar,45.74
China,01/08/2019,Bioenergy,10.2
China,01/08/2019,Clean,218.99
China,01/08/2019,Coal,447.7
China,01/08/2019,Fossil,469.13
China,01/08/2019,Gas,19.54
China,01/08/2019,Hydro,129.46
China,01/08/2019,Nuclear,32.86
China,01/08/2019,Other Fossil,1.89
China,01/08/2019,Solar,21.22
China,01/08/2019,Wind,25.25
China,01/08/2019,Wind and solar,46.47
China,01/09/2019,Bioenergy,8.97
China,01/09/2019,Clean,197.17
China,01/09/2019,Coal,393.68
China,01/09/2019,Fossil,412.52
China,01/09/2019,Gas,17.18
China,01/09/2019,Hydro,112.76
China,01/09/2019,Nuclear,29.67
China,01/09/2019,Other Fossil,1.66
China,01/09/2019,Solar,19.99
China,01/09/2019,Wind,25.78
China,01/09/2019,Wind and solar,45.77
China,01/10/2019,Bioenergy,8.62
China,01/10/2019,Clean,196.5
China,01/10/2019,Coal,378.44
China,01/10/2019,Fossil,396.55
China,01/10/2019,Gas,16.51
China,01/10/2019,Hydro,107.6
China,01/10/2019,Nuclear,28.76
China,01/10/2019,Other Fossil,1.6
China,01/10/2019,Solar,18.33
China,01/10/2019,Wind,33.19
China,01/10/2019,Wind and solar,51.52
China,01/11/2019,Bioenergy,9.39
China,01/11/2019,Clean,179.29
China,01/11/2019,Coal,411.93
China,01/11/2019,Fossil,431.65
China,01/11/2019,Gas,17.98
China,01/11/2019,Hydro,82.35
China,01/11/2019,Nuclear,32.55
China,01/11/2019,Other Fossil,1.74
China,01/11/2019,Solar,16.15
China,01/11/2019,Wind,38.85
China,01/11/2019,Wind and solar,55
China,01/12/2019,Bioenergy,11.01
China,01/12/2019,Clean,170.51
China,01/12/2019,Coal,482.98
China,01/12/2019,Fossil,506.1
China,01/12/2019,Gas,21.08
China,01/12/2019,Hydro,68.65
China,01/12/2019,Nuclear,33.22
China,01/12/2019,Other Fossil,2.04
China,01/12/2019,Solar,16.15
China,01/12/2019,Wind,41.48
China,01/12/2019,Wind and solar,57.63
China,01/01/2020,Bioenergy,9.89
China,01/01/2020,Clean,142.79
China,01/01/2020,Coal,367.62
China,01/01/2020,Fossil,386.64
China,01/01/2020,Gas,17.53
China,01/01/2020,Hydro,59.55
China,01/01/2020,Nuclear,23.65
China,01/01/2020,Other Fossil,1.49
China,01/01/2020,Solar,16.47
China,01/01/2020,Wind,33.23
China,01/01/2020,Wind and solar,49.7
China,01/02/2020,Bioenergy,9.89
China,01/02/2020,Clean,142.59
China,01/02/2020,Coal,367.62
China,01/02/2020,Fossil,386.64
China,01/02/2020,Gas,17.53
China,01/02/2020,Hydro,59.55
China,01/02/2020,Nuclear,23.65
China,01/02/2020,Other Fossil,1.49
China,01/02/2020,Solar,16.36
China,01/02/2020,Wind,33.14
China,01/02/2020,Wind and solar,49.5
China,01/03/2020,Bioenergy,9.83
China,01/03/2020,Clean,188.79
China,01/03/2020,Coal,365.3
China,01/03/2020,Fossil,384.2
China,01/03/2020,Gas,17.42
